pairs,cc
"('sqft_lot', 'view')",0.07505438631699975
"('waterfront', 'yr_renovated')",0.07393914416915727
"('sqft_basement', 'zipcode')",0.0732705858717627
"('view', 'sqft_lot15')",0.07308327630670013
"('sqft_above', 'waterfront')",0.0717776880380939
"('sqft_lot15', 'yr_built')",0.07077727072410393
"('sqft_lot15', 'Age_house')",0.07077673022137931
"('sqft_basement', 'yr_renovated')",0.06500770876350309
"('long', 'yr_renovated')",0.06454278478413684
"('waterfront', 'bathrooms')",0.0636292692012321
"('Time_since_renovation', 'price')",0.06262015213798088
"('yr_renovated', 'zipcode')",0.062397077765132807
"('zipcode', 'floors')",0.05954061113607501
"('sqft_living', 'condition')",0.05944476389547671
"('condition', 'yr_renovated')",0.05580835233920707
"('view', 'Age_house')",0.054467333607611794
"('view', 'yr_built')",0.05445152495956364
"('yr_built', 'price')",0.053953333465191274
"('Age_house', 'price')",0.05389560392478621
"('price', 'zipcode')",0.053402434377564076
"('sqft_lot', 'yr_built')",0.052946307047119084
"('sqft_lot', 'Age_house')",0.05285963897418318
"('sqft_living', 'lat')",0.052155282216434125
"('sqft_above', 'sqft_basement')",0.05117507167191512
"('yr_renovated', 'sqft_living')",0.051059954084876916
"('floors', 'lat')",0.04923866796302853
"('sqft_living15', 'lat')",0.04867857579750065
"('bathrooms', 'yr_renovated')",0.04717695260257912
"('condition', 'year_sold')",0.045897689779853666
"('Time_since_renovation', 'long')",0.04581288138375429
"('view', 'condition')",0.04562207304173111
"('Time_since_renovation', 'zipcode')",0.04529753312340521
"('long', 'waterfront')",0.037627768969709825
"('price', 'condition')",0.0360563754860945
"('sqft_lot', 'bedrooms')",0.032471095382041994
"('sqft_lot15', 'bedrooms')",0.030689956879071653
"('waterfront', 'sqft_lot15')",0.030658321816017325
"('grade', 'year_sold')",0.03063527062606615
"('year_sold', 'sqft_living')",0.02901404843959032
"('lat', 'year_sold')",0.02900346572521184
"('waterfront', 'zipcode')",0.028923234228036304
"('view', 'floors')",0.028413755424377556
"('lat', 'yr_renovated')",0.027970003924794803
"('year_sold', 'bathrooms')",0.02657676112525492
"('bedrooms', 'condition')",0.02649560229547125
"('waterfront', 'yr_built')",0.024487293006626897
"('Age_house', 'waterfront')",0.02440483977386793
"('bathrooms', 'lat')",0.024279691034956898
"('id', 'condition')",0.023802982118390287
"('sqft_above', 'year_sold')",0.023781661999258498
"('floors', 'year_sold')",0.022352348569836655
"('long', 'price')",0.022036321104619574
"('yr_built', 'id')",0.021617243494283074
"('sqft_living15', 'year_sold')",0.021548567059774447
"('waterfront', 'sqft_lot')",0.021458778486846485
"('id', 'Age_house')",0.021452918030745435
"('sqft_basement', 'Time_since_renovation')",0.02134799470476099
"('waterfront', 'floors')",0.020796613904294384
"('id', 'long')",0.020671538252336096
"('sqft_above', 'yr_renovated')",0.020644599117426707
"('year_sold', 'yr_renovated')",0.01971258919226647
"('Time_since_renovation', 'sqft_living')",0.019123502036977755
"('Time_since_renovation', 'grade')",0.018703688842770974
"('floors', 'id')",0.018607823452715496
"('bedrooms', 'yr_renovated')",0.01789959817831733
"('price', 'id')",0.01677184761297258
"('condition', 'waterfront')",0.016647611148640443
"('sqft_basement', 'sqft_lot15')",0.01588501643479804
"('lat', 'Time_since_renovation')",0.01586946102181757
"('grade', 'yr_renovated')",0.015622929276331942
"('condition', 'lat')",0.015101824345192609
"('sqft_lot', 'sqft_basement')",0.0150311253466828
"('sqft_basement', 'year_sold')",0.014997304897132448
"('sqft_lot', 'Time_since_renovation')",0.013103399945625649
"('year_sold', 'Age_house')",0.012331146307640463
"('sqft_living', 'id')",0.012240553516055089
"('lat', 'waterfront')",0.012157024610826059
"('view', 'id')",0.011772230811407176
"('sqft_lot15', 'Time_since_renovation')",0.011097118969838716
"('sqft_above', 'id')",0.010799380771582965
"('sqft_lot15', 'floors')",0.010721708142762312
"('id', 'yr_renovated')",0.010611817986032586
"('Time_since_renovation', 'year_sold')",0.01049668632055415
"('lat', 'bedrooms')",0.009951311438183407
"('year_sold', 'bedrooms')",0.009949299954801023
"('year_sold', 'id')",0.009914628497424208
"('sqft_lot', 'condition')",0.008829530166090048
"('Time_since_renovation', 'sqft_above')",0.008776401154989472
"('id', 'Time_since_renovation')",0.008756158257378275
"('bedrooms', 'Time_since_renovation')",0.00838328779187765
"('zipcode', 'id')",0.008210798838574047
"('id', 'grade')",0.008188408639993353
"('condition', 'Time_since_renovation')",0.007032404034095262
"('lat', 'view')",0.006320593286139104
"('year_sold', 'sqft_lot')",0.005627650450562897
"('bathrooms', 'id')",0.005161794694153116
"('waterfront', 'year_sold')",0.005017819810288592
"('sqft_lot', 'yr_renovated')",0.004979037480012201
"('floors', 'sqft_lot')",0.0048143648672801164
"('Time_since_renovation', 'sqft_living15')",0.004697423404040449
"('sqft_basement', 'id')",0.004359351116260863
"('yr_renovated', 'sqft_lot15')",0.0042855503380430345
"('Time_since_renovation', 'floors')",0.003924438599606962
"('floors', 'yr_renovated')",0.0037933603794948
"('year_sold', 'price')",0.0037271396244743646
"('id', 'waterfront')",0.0035993645242705682
"('year_sold', 'yr_built')",0.003574093411260076
"('condition', 'sqft_lot15')",0.003126105168867127
"('zipcode', 'condition')",0.0028879691495543656
"('sqft_living15', 'id')",0.002700518147089004
"('bedrooms', 'waterfront')",0.0021273317842706975
"('lat', 'id')",0.0017978784440231819
"('year_sold', 'zipcode')",0.0012895336024595207
"('view', 'year_sold')",0.0012387370108411736
"('sqft_above', 'lat')",0.0011990150822416795
"('bedrooms', 'id')",0.0011503775362556048
"('yr_renovated', 'sqft_living15')",0.0006833588050159366
"('Time_since_renovation', 'bathrooms')",0.0005968479163847793
"('long', 'year_sold')",0.0002961883454351878
"('year_sold', 'sqft_lot15')",0.00016246040286442524
